i,j,dist_km
Z0241003,Z1169001,4.8282198556029154
Z0241003,Z1367001,9.622777371408837
Z0241003,Z1524001,3.7901193717951975
Z0241003,Z1665001,22.617451066832352
Z0241003,Z1769001,10.369442761545697
Z0241003,Z1899001,9.827676694687232
Z0241003,Z1899002,9.827676694687232
Z0241003,Z2011001,9.767333867589263
Z0241003,Z2135001,8.509623548320798
Z0241003,Z2135002,8.509623548320798
Z0241003,Z2136001,8.803291524704361
Z0241004,Z0241005,0.0
Z0241004,Z0241006,0.0
Z0241004,Z0241007,0.0
Z0241004,Z0241008,0.0
Z0241004,Z0276001,11.385551738378878
Z0241004,Z0276002,11.385551738378878
Z0241004,Z0276003,11.385551738378878
Z0241004,Z0283001,13.11295680278363
Z0241004,Z0284001,22.644053282593504
Z0241004,Z0386001,25.397503104372127
Z0241004,Z0386002,25.397503104372127
Z0241004,Z0386003,25.397503104372127
Z0241004,Z0386004,25.397503104372127
Z0241004,Z0386005,25.397503104372127
Z0241004,Z0386006,25.397503104372127
Z0241004,Z0386007,25.397503104372127
Z0241004,Z0646001,8.867484200464071
Z0241004,Z0646002,8.867484200464071
Z0241004,Z0646003,8.867484200464071
Z0241004,Z0646004,8.867484200464071
Z0241004,Z0899001,9.94468565211168
Z0241004,Z0908001,12.530561630570901
Z0241004,Z0951001,23.359589119434606
Z0241004,Z0951002,23.359589119434606
Z0241004,Z0972001,23.870383289194027
Z0241004,Z1031001,4.7661508544723805
Z0241004,Z1031002,4.7661508544723805
Z0241004,Z1119001,9.16900711828718
Z0241004,Z1169001,4.8282198556029154
Z0241004,Z1367001,9.622777371408837
Z0241004,Z1524001,3.7901193717951975
Z0241004,Z1665001,22.617451066832352
Z0241004,Z1769001,10.369442761545697
Z0241004,Z1899001,9.827676694687232
Z0241004,Z1899002,9.827676694687232
Z0241004,Z2011001,9.767333867589263
Z0241004,Z2135001,8.509623548320798
Z0241004,Z2135002,8.509623548320798
Z0241004,Z2136001,8.803291524704361
Z0241005,Z0241006,0.0
Z0241005,Z0241007,0.0
Z0241005,Z0241008,0.0
Z0241005,Z0276001,11.385551738378878
Z0241005,Z0276002,11.385551738378878
Z0241005,Z0276003,11.385551738378878
Z0241005,Z0283001,13.11295680278363
Z0241005,Z0284001,22.644053282593504
Z0241005,Z0386001,25.397503104372127
Z0241005,Z0386002,25.397503104372127
Z0241005,Z0386003,25.397503104372127
Z0241005,Z0386004,25.397503104372127
Z0241005,Z0386005,25.397503104372127
Z0241005,Z0386006,25.397503104372127
Z0241005,Z0386007,25.397503104372127
Z0241005,Z0646001,8.867484200464071
Z0241005,Z0646002,8.867484200464071
Z0241005,Z0646003,8.867484200464071
Z0241005,Z0646004,8.867484200464071
Z0241005,Z0899001,9.94468565211168
Z0241005,Z0908001,12.530561630570901
Z0241005,Z0951001,23.359589119434606
Z0241005,Z0951002,23.359589119434606
Z0241005,Z0972001,23.870383289194027
Z0241005,Z1031001,4.7661508544723805
Z0241005,Z1031002,4.7661508544723805
Z0241005,Z1119001,9.16900711828718
Z0241005,Z1169001,4.8282198556029154
Z0241005,Z1367001,9.622777371408837
Z0241005,Z1524001,3.7901193717951975
Z0241005,Z1665001,22.617451066832352
Z0241005,Z1769001,10.369442761545697
Z0241005,Z1899001,9.827676694687232
Z0241005,Z1899002,9.827676694687232
Z0241005,Z2011001,9.767333867589263
Z0241005,Z2135001,8.509623548320798
Z0241005,Z2135002,8.509623548320798
Z0241005,Z2136001,8.803291524704361
Z0241006,Z0241007,0.0
Z0241006,Z0241008,0.0
Z0241006,Z0276001,11.385551738378878
Z0241006,Z0276002,11.385551738378878
Z0241006,Z0276003,11.385551738378878
Z0241006,Z0283001,13.11295680278363
Z0241006,Z0284001,22.644053282593504
Z0241006,Z0386001,25.397503104372127
Z0241006,Z0386002,25.397503104372127
Z0241006,Z0386003,25.397503104372127
Z0241006,Z0386004,25.397503104372127
Z0241006,Z0386005,25.397503104372127
Z0241006,Z0386006,25.397503104372127
Z0241006,Z0386007,25.397503104372127
Z0241006,Z0646001,8.867484200464071
Z0241006,Z0646002,8.867484200464071
Z0241006,Z0646003,8.867484200464071
Z0241006,Z0646004,8.867484200464071
Z0241006,Z0899001,9.94468565211168
Z0241006,Z0908001,12.530561630570901
Z0241006,Z0951001,23.359589119434606
Z0241006,Z0951002,23.359589119434606
Z0241006,Z0972001,23.870383289194027
Z0241006,Z1031001,4.7661508544723805
Z0241006,Z1031002,4.7661508544723805
Z0241006,Z1119001,9.16900711828718
Z0241006,Z1169001,4.8282198556029154
Z0241006,Z1367001,9.622777371408837
Z0241006,Z1524001,3.7901193717951975
Z0241006,Z1665001,22.617451066832352
Z0241006,Z1769001,10.369442761545697
Z0241006,Z1899001,9.827676694687232
Z0241006,Z1899002,9.827676694687232
Z0241006,Z2011001,9.767333867589263
Z0241006,Z2135001,8.509623548320798
Z0241006,Z2135002,8.509623548320798
Z0241006,Z2136001,8.803291524704361
Z0241007,Z0241008,0.0
Z0241007,Z0276001,11.385551738378878
Z0241007,Z0276002,11.385551738378878
Z0241007,Z0276003,11.385551738378878
Z0241007,Z0283001,13.11295680278363
Z0241007,Z0284001,22.644053282593504
Z0241007,Z0386001,25.397503104372127
Z0241007,Z0386002,25.397503104372127
Z0241007,Z0386003,25.397503104372127
Z0241007,Z0386004,25.397503104372127
Z0241007,Z0386005,25.397503104372127
Z0241007,Z0386006,25.397503104372127
Z0241007,Z0386007,25.397503104372127
Z0241007,Z0646001,8.867484200464071
Z0241007,Z0646002,8.867484200464071
Z0241007,Z0646003,8.867484200464071
Z0241007,Z0646004,8.867484200464071
Z0241007,Z0899001,9.94468565211168
Z0241007,Z0908001,12.530561630570901
Z0241007,Z0951001,23.359589119434606
Z0241007,Z0951002,23.359589119434606
Z0241007,Z0972001,23.870383289194027
Z0241007,Z1031001,4.7661508544723805
Z0241007,Z1031002,4.7661508544723805
Z0241007,Z1119001,9.16900711828718
Z0241007,Z1169001,4.8282198556029154
Z0241007,Z1367001,9.622777371408837
Z0241007,Z1524001,3.7901193717951975
Z0241007,Z1665001,22.617451066832352
Z0241007,Z1769001,10.369442761545697
Z0241007,Z1899001,9.827676694687232
Z0241007,Z1899002,9.827676694687232
Z0241007,Z2011001,9.767333867589263
Z0241007,Z2135001,8.509623548320798
Z0241007,Z2135002,8.509623548320798
Z0241007,Z2136001,8.803291524704361
Z0241008,Z0276001,11.385551738378878
Z0241008,Z0276002,11.385551738378878
Z0241008,Z0276003,11.385551738378878
Z0241008,Z0283001,13.11295680278363
Z0241008,Z0284001,22.644053282593504
Z0241008,Z0386001,25.397503104372127
